fid,공공문화체육
5067,0
5068,1
5069,1
5070,1
5071,0
5072,0
5073,0
5074,2
5075,1
5076,0
5077,0
5078,1
5079,0
5080,5
5081,1
5082,3
5083,1
5101,0
5102,3
5103,2
5104,1
5105,1
5106,1
5107,2
5108,1
5109,0
5110,0
5111,0
5112,1
5113,2
5114,1
5115,1
5116,4
5117,0
5118,0
5119,0
5120,1
5121,1
5122,0
5125,1
5126,0
5127,0
5128,0
5129,1
5130,3
5131,0
5132,2
5133,0
5134,0
5135,0
5139,1
5140,0
5141,0
5142,0
5143,0
5144,0
5145,0
5146,0
5147,0
5148,0
5149,0
5150,0
5151,1
5152,1
5153,1
5154,0
5155,1
5156,1
5157,1
5178,0
5179,1
5180,0
5181,1
5182,1
5183,1
5184,0
5185,1
5186,1
5187,2
5188,0
5189,0
5190,0
5191,2
5192,2
5193,0
5194,2
5195,0
5196,0
5197,2
5198,1
5201,1
5202,1
5203,0
5204,1
5205,0
5206,1
5207,1
5208,1
5209,1
5210,3
5211,0
5212,0
5216,1
5217,1
5218,0
5219,1
5220,0
5221,0
5222,0
5223,0
5224,0
5225,0
5226,1
5227,0
5228,2
5229,2
5230,0
5231,0
5232,2
5233,0
5253,0
5254,0
5255,0
5256,1
5257,1
5258,1
5259,0
5260,0
5261,0
5262,0
5263,4
5264,2
5265,0
5266,0
5267,0
5268,0
5269,2
5270,2
5271,1
5272,0
5273,0
5274,1
5275,0
5276,1
5277,0
5278,0
5279,2
5280,1
5281,1
5282,1
5283,0
5284,1
5285,0
5286,0
5287,1
5288,0
5292,0
5293,0
5294,0
5295,0
5296,0
5297,0
5298,1
5299,0
5300,0
5301,0
5302,0
5303,0
5304,1
5305,2
5306,0
5307,0
5308,0
5309,0
5310,0
5311,0
5329,1
5330,0
5331,0
5332,1
5333,0
5334,2
5335,0
5336,0
5337,1
5338,3
5339,2
5340,1
5341,1
5342,0
5343,0
5344,0
5345,0
5346,1
5347,1
5348,0
5349,2
5350,0
5351,0
5352,2
5353,2
5354,0
5355,0
5356,2
5357,1
5358,0
5359,1
5361,2
5362,1
5363,1
5364,0
5365,0
5369,0
5370,0
5371,1
5372,1
5373,1
5374,0
5375,0
5376,1
5377,0
5378,0
5379,0
5380,0
5381,0
5382,0
5383,0
5384,4
5385,0
5386,2
5401,0
5402,1
5403,1
5404,1
5405,3
5406,1
5407,1
5408,1
5409,2
5410,2
5411,3
5412,1
5413,0
5414,0
5415,0
5416,0
5417,0
5418,2
5419,0
5420,1
5421,1
5422,0
5423,2
5424,1
5425,0
5426,1
5427,4
5428,1
5429,0
5430,0
5431,0
5432,0
5433,0
5434,0
5438,1
5439,1
5440,0
5441,3
5444,2
5445,0
5446,1
5447,2
5448,2
5449,0
5450,0
5451,0
5452,0
5453,0
5454,1
5455,0
5456,2
5457,2
5458,0
5459,0
5460,0
5461,0
5477,2
5478,3
5479,0
5480,0
5481,1
5482,0
5483,3
5484,2
5485,2
5486,0
5487,1
5488,0
5489,0
5490,0
5491,0
5492,2
5493,2
5494,0
5495,1
5496,2
5497,4
5498,0
5499,5
5500,0
5503,1
5504,3
5505,2
5506,0
5507,1
5508,1
5509,0
5510,1
5511,1
5514,0
5515,0
5516,2
5517,1
5518,0
5521,1
5522,0
5523,0
5524,1
5525,0
5526,0
5527,0
5528,2
5529,1
5530,1
5531,0
5532,0
5533,1
5534,0
5535,2
5536,0
5553,2
5554,2
5555,1
5556,1
5557,1
5558,2
5559,1
5560,0
5561,2
5562,0
5563,2
5564,2
5565,1
5566,0
5567,2
5568,1
5569,0
5570,0
5571,14
5572,4
5573,1
5574,2
5575,0
5578,0
5579,0
5580,0
5581,1
5582,1
5583,9
5584,1
5585,1
5586,0
5587,1
5588,0
5589,0
5590,0
5591,0
5592,0
5593,3
5594,0
5597,0
5598,0
5599,0
5600,0
5601,0
5602,0
5603,1
5604,1
5605,0
5606,3
5607,1
5608,0
5609,2
5610,1
5611,1
5632,0
5633,7
5634,0
5635,0
5636,1
5637,1
5638,4
5639,1
5640,1
5641,1
5642,0
5643,0
5644,2
5645,1
5646,0
5647,3
5648,12
5649,0
5650,2
5651,1
5652,0
5653,1
5655,1
5656,0
5658,4
5659,0
5660,0
5661,0
5662,0
5663,0
5664,1
5665,0
5666,0
5667,0
5668,0
5669,1
5670,0
5671,0
5674,0
5675,0
5676,1
5677,0
5678,0
5679,0
5680,0
5681,0
5682,1
5683,2
5684,2
5685,2
5686,1
5687,0
5693,0
5710,1
5711,1
5712,1
5713,0
5714,0
5715,2
5716,1
5717,1
5718,1
5719,3
5720,0
5721,0
5722,0
5723,0
5724,0
5725,2
5726,0
5727,0
5728,0
5729,2
5730,0
5731,0
5732,1
5734,2
5735,0
5736,0
5737,0
5738,1
5739,0
5740,0
5741,0
5742,0
5743,0
5744,0
5745,0
5746,1
5750,1
5751,1
5752,0
5753,0
5754,1
5755,1
5756,0
5757,1
5758,2
5759,0
5760,1
5761,5
5762,0
5787,0
5788,2
5789,2
5790,4
5791,1
5792,1
5793,0
5794,1
5795,0
5796,3
5797,1
5798,0
5799,0
5800,1
5801,0
5802,1
5803,0
5804,4
5805,0
5806,1
5807,7
5808,0
5809,0
5810,2
5811,0
5812,1
5813,1
5814,0
5815,0
5816,0
5817,0
5818,0
5819,1
5820,1
5821,1
5822,0
5823,2
5828,0
5829,0
5830,0
5831,0
5832,1
5833,0
5834,1
5835,0
5836,1
5837,0
5838,0
5839,1
5862,0
5863,1
5864,2
5865,1
5866,1
5867,2
5868,2
5869,0
5870,0
5871,1
5872,2
5873,0
5874,0
5875,1
5876,0
5877,0
5878,2
5879,0
5880,0
5881,0
5882,14
5883,1
5884,6
5885,1
5886,1
5887,0
5888,2
5889,0
5890,1
5891,0
5892,0
5893,3
5894,0
5895,1
5896,0
5897,1
5898,1
5899,0
5903,0
5904,0
5905,0
5906,0
5907,0
5908,1
5909,0
5910,1
5911,2
5912,1
5913,0
5939,1
5940,1
5941,2
5942,0
5943,4
5944,2
5945,4
5946,4
5947,2
5948,1
5949,1
5950,0
5951,0
5952,0
5953,0
5954,1
5955,0
5956,0
5957,0
5958,1
5959,0
5960,0
5961,1
5962,1
5963,1
5964,0
5965,0
5966,2
5967,0
5968,0
5969,1
5970,2
5971,0
5974,2
5975,4
5976,0
5980,1
5981,0
5982,2
5983,0
5984,0
5985,0
5986,0
5987,4
5988,4
5989,0
6014,4
6015,2
6016,1
6017,2
6018,2
6019,0
6021,0
6024,1
6025,0
6026,0
6027,1
6028,0
6029,0
6030,3
6031,3
6032,2
6033,1
6034,0
6035,1
6036,0
6037,0
6038,1
6039,0
6040,0
6041,0
6042,0
6043,1
6044,0
6045,1
6046,1
6047,0
6050,0
6051,0
6052,2
6055,0
6056,1
6057,0
6058,1
6059,0
6060,0
6061,1
6062,3
6063,2
6064,1
6065,1
6089,3
6090,1
6093,0
6094,1
6095,7
6101,0
6102,2
6103,1
6104,0
6105,1
6106,0
6107,1
6108,2
6109,2
6110,0
6111,3
6112,0
6113,0
6114,1
6115,0
6116,0
6117,1
6118,1
6119,0
6120,2
6121,0
6122,0
6123,0
6124,1
6126,3
6127,1
6128,0
6132,2
6133,1
6134,1
6135,0
6136,1
6137,0
6138,1
6139,3
6140,1
6141,0
6170,2
6171,0
6172,9
6175,2
6176,0
6177,0
6178,3
6179,5
6180,2
6181,1
6182,0
6183,1
6184,1
6185,2
6186,0
6187,0
6188,0
6189,0
6190,1
6191,2
6192,0
6193,1
6194,2
6195,0
6196,1
6197,0
6198,1
6199,0
6200,1
6201,0
6202,1
6203,1
6204,2
6207,0
6208,0
6209,0
6210,3
6211,1
6212,0
6213,0
6214,0
6215,0
6216,1
6217,3
6254,2
6256,3
6257,1
6258,0
6259,0
6260,0
6261,2
6262,0
6263,1
6264,0
6265,2
6266,0
6267,1
6272,2
6273,0
6274,0
6275,1
6276,0
6277,0
6278,0
6279,2
6280,2
6284,3
6285,2
6286,2
6287,0
6288,0
6289,0
6290,1
6291,1
6292,3
6332,0
6333,1
6334,1
6335,3
6336,1
6337,1
6338,0
6339,0
6340,0
6341,0
6342,0
6348,0
6349,0
6350,0
6351,2
6352,0
6353,1
6354,1
6355,0
6359,0
6360,1
6361,2
6362,1
6363,1
6364,2
6365,0
6366,0
6367,0
6368,3
6409,2
6410,0
6411,0
6412,1
6413,0
6414,0
6415,1
6416,2
6426,2
6427,0
6428,2
6429,0
6430,0
6435,0
6436,0
6437,1
6438,1
6439,0
6440,0
6441,2
6442,0
6443,3
6444,2
6485,0
6486,0
6487,2
6488,2
6489,0
6490,1
6491,0
6502,0
6503,3
6504,0
6505,1
6510,0
6511,4
6512,0
6513,0
6514,0
6515,0
6516,0
6517,0
6518,0
6519,2
6525,1
6564,2
6565,1
6566,2
6579,1
6580,0
6586,2
6587,0
6588,1
6589,0
6590,0
6591,1
6592,1
6593,1
6594,0
6595,1
6636,0
6638,0
6640,0
6654,0
6655,0
6660,0
6661,0
6662,0
6663,0
6664,0
6665,0
6666,2
6667,0
6668,1
6669,1
6670,0
6671,0
6713,0
6735,0
6736,0
6737,2
6738,0
6739,2
6740,2
6741,0
6742,0
6743,0
6744,4
6745,0
6746,0
6747,2
6748,0
6749,1
6809,0
6810,1
6811,1
6812,0
6813,1
6814,0
6815,0
6816,0
6817,0
6818,0
6819,1
6820,1
6821,0
6822,0
6823,0
6824,0
6825,2
6826,0
6884,0
6885,0
6886,0
