fid,도로길이,도로개수
2325,986.998240539432,4
2326,883.597575985017,4
2327,591.42274766134,3
2328,1463.50897809569,5
2329,3878.96018552305,37
2330,2634.82154474504,27
2331,2664.58073692812,17
2332,3666.21529423018,19
2333,1746.25524544523,10
2334,2330.84251490045,17
2335,2319.31327154799,26
2336,5770.9422002266,67
2337,5560.17972654529,72
2338,3898.43062761115,50
2339,6571.66657569415,102
2340,7925.83458719702,139
2341,5651.95430274527,57
2342,778.707773479954,4
2343,1132.19141012673,5
2344,1138.12523527932,8
2345,2009.62562239159,6
2388,1733.22728455415,15
2389,1725.71452115957,12
2390,1405.29725349652,8
2391,1398.96315658522,7
2392,367.867612364347,1
2393,0,0
2394,495.178978505344,2
2399,1315.07489018944,6
2400,2809.66858888369,15
2401,2128.13702235844,10
2402,939.933604661288,3
2403,2089.30114801241,8
2404,2059.70751474771,13
2405,5905.83540089646,79
2406,3082.0450623964,26
2407,3710.32810223905,43
2408,4852.12422892221,48
2409,1568.09893684116,8
2410,1426.32945470819,13
2411,3425.0195121461,31
2412,4127.7654947638,53
2413,3307.83239537845,31
2414,5375.81660923845,73
2415,4850.17381775142,78
2416,5694.19879377803,107
2417,5768.47516650803,79
2418,2371.17985844136,19
2419,2995.34286446468,29
2420,1812.26094125047,11
2421,1772.57861021987,11
2422,1431.61595818605,4
2423,2021.18135429192,7
2465,3180.97523909747,44
2466,1338.64758739749,7
2467,2844.40557566018,27
2469,660.54488458991,2
2470,662.400752812358,2
2471,9.73070152842154,1
2477,3058.86123843537,24
2478,3719.93698405369,26
2479,2371.14474009107,10
2480,2506.04795585626,20
2481,3299.56823340268,36
2482,3397.75124650906,43
2483,1986.90226148006,11
2484,6162.17278099372,81
2485,4700.23439346905,44
2486,3432.35794264855,20
2487,4440.78667884727,21
2488,4438.50228885129,30
2489,3316.3964096161,21
2490,4010.36201750817,55
2491,3534.87163339863,36
2492,1486.50812667667,13
2493,2203.78137547782,29
2494,5046.70619423055,59
2495,2818.15564558542,35
2496,2926.73204879036,25
2497,2583.2786643235,18
2498,3031.13497133605,30
2499,798.247314513979,3
2500,1713.41568680185,7
2501,2229.35128925805,16
2540,2661.0491348342,37
2541,1553.42480689638,15
2542,2561.74021258473,23
2543,3240.41695601423,33
2544,436.942794881556,1
2545,606.176940509996,4
2546,740.522279391083,3
2547,2301.0715020052,16
2548,1540.60580821769,12
2553,3527.02951979666,43
2554,2667.30273312677,23
2555,1971.06027263767,19
2556,3966.87358245529,42
2557,4359.1217036887,51
2558,3188.11597776331,30
2559,961.763388436745,6
2560,3607.06772505491,32
2561,4432.57931544773,58
2562,3003.8499032532,27
2563,3959.33860704293,28
2564,3368.20444685006,23
2565,4952.76622339163,47
2566,6053.20598501668,70
2567,3955.24064378647,37
2568,1267.10794136427,7
2569,2511.29998304679,23
2570,3392.30637755002,32
2571,3366.02261452959,33
2572,2421.75499965761,20
2573,3167.78888553826,34
2574,2810.54994951963,35
2575,1523.210481674,17
2576,1722.18597991919,16
2577,1560.71552042074,10
2617,1544.20189896573,21
2618,2621.2100235359,27
2619,1825.94157983231,17
2620,2558.57899734084,12
2621,1202.32636100628,3
2622,2072.48243582174,9
2623,4109.6102778183,28
2624,3823.30544060888,45
2625,4595.00253460481,53
2630,3210.46985765338,26
