,fid,연면적
624,2874,1023.9304205607476
625,2875,1075.5224305555557
626,2876,2752.588
627,2878,391.71426900584794
628,2880,578.158
629,2881,363.4087275362319
630,2909,239.32490353697747
631,2910,375.7555140186916
632,2911,610.5230541760723
633,2912,385.3761923076923
634,2913,849.0066349206348
635,2914,584.762234332425
636,2915,478.404004576659
637,2916,537.7054538812786
638,2917,868.5500000000001
639,2918,470.1855355329949
640,2919,419.59600985221675
641,2920,357.0495752895753
642,2921,451.91587646076795
643,2922,459.91468749999996
644,2923,839.6535483870967
645,2924,628.8216666666666
646,2925,615.3724210526316
647,2926,318.36201864801865
648,2927,485.187157622739
649,2928,710.5534217171718
650,2929,613.054630490956
651,2930,2819.1594946236555
652,2931,542.9173755656109
653,2932,335.65066115702484
654,2935,26387.983333333334
655,2936,32710.9775
656,2937,16965.74681818182
657,2938,50243.32
658,2939,1734.3516363636363
659,2940,741.512750929368
660,2941,320.18470149253733
661,2942,409.5788223140496
662,2943,1225.083536585366
663,2944,352.7137566137566
664,2945,650.4335723684211
665,2946,4844.6498
666,2947,451.4657142857143
667,2948,341.52289473684215
668,2949,539.0828179190752
669,2950,535.8319135802469
670,2951,394.86006607929517
671,2952,533.4833207547169
672,2954,239.8181227436823
673,2955,467.4824689189189
674,2957,1742.3478571428573
675,2958,4821.8184375
676,2981,5156.876363636364
677,2985,389.8632505643341
678,2986,475.94151950718685
679,2987,533.7737038834952
680,2988,361.72507751937985
681,2989,384.92303822937623
682,2990,394.6493009708738
683,2991,461.464652173913
684,2992,1247.2962819078948
685,2993,495.32278350515463
686,2994,311.37564777327935
687,2995,353.53889447236185
688,2996,375.6508298755187
689,2997,420.63370816599735
690,2998,280.9616333938294
691,2999,552.5964663461539
692,3000,171.3648275862069
693,3001,275.8183962264151
694,3002,580.8291343283582
695,3003,390.15435804701633
696,3004,837.727994100295
697,3005,990.0411333333333
698,3006,509.3580710172745
699,3007,363.88145320197043
700,3011,12404.822222222223
701,3012,18143.646666666667
702,3013,42251.87285714286
703,3014,28305.088095238094
704,3015,1321.4657333333332
705,3016,422.31520703933745
706,3017,330.77838150289017
707,3018,1136.0438860103627
708,3019,441.72003355704703
709,3020,812.4174007936508
710,3021,809.9407843137255
711,3022,1194.0062500000001
712,3023,440.86679999999996
713,3024,382.1675323193916
714,3025,556.4398
715,3026,366.95435153583617
716,3027,391.5907848837209
717,3028,385.9699266055046
718,3029,274.7089130434783
719,3030,2421.755282
720,3031,5302.061390384615
721,3033,10469.253846153846
722,3062,342.14627151051627
723,3063,462.8305579399142
724,3064,529.196793258427
725,3065,354.32294234592445
726,3066,399.49875236294895
727,3067,647.7724528301886
728,3068,681.8277588075881
729,3069,539.9863594470047
730,3070,322.66807580174924
731,3071,6217.203333333332
732,3072,653.1797611940299
733,3073,621.3663945578231
734,3074,470.89229166666667
735,3075,278.0223779854621
736,3076,253.57531697341514
737,3078,310.82808395522386
738,3079,396.29196742671013
739,3080,1099.5443314121037
740,3081,1123.3911571428573
741,3082,1434.0698161764706
742,3083,843.0544110787172
743,3088,20613.776071428572
744,3089,54584.87357142857
745,3090,37640.008653846155
746,3091,24313.469230769228
747,3092,313.6796969696969
748,3093,1216.2915310344827
749,3094,4941.1522794117645
750,3095,740.9153584905661
751,3096,425.778419047619
752,3097,519.5460558252428
753,3098,2960.483987878788
754,3099,2949.0344149659863
755,3100,423.916582278481
756,3101,291.1471228070175
757,3102,267.1012910798122
758,3103,404.7672575250836
759,3104,593.9628225806451
760,3105,243.16924528301885
761,3106,5483.9831875
762,3107,12133.473181818183
763,3108,36.72
764,3134,3942.74675862069
765,3137,352.49072261072257
766,3138,306.9697120921305
767,3139,491.7840328467154
768,3140,2141.625512
769,3141,881.1423157894737
770,3142,332.32625645438895
771,3143,767.25
772,3144,775.282875
773,3149,535.4673389355743
774,3150,331.7345823095823
775,3151,400.7341451612903
776,3152,307.9273049907578
777,3153,324.3568916155419
778,3154,553.4038434782609
779,3155,555.4938563922942
780,3156,447.7776434977578
781,3157,720.6822553133516
782,3158,1973.781778761062
783,3159,1835.8510241935485
784,3164,23485.847777777777
785,3165,37996.05789473684
786,3166,21622.545529411764
787,3167,38493.15
788,3168,2534.6759183098593
789,3169,4444.08125
