fid,횡단보도개수
4378,4
4379,16
4380,8
4381,4
4382,7
4386,0
4387,21
4388,4
4389,3
4390,17
4391,11
4392,12
4393,8
4394,3
4395,4
4437,4
4438,8
4439,0
4441,0
4442,2
4443,0
4444,0
4445,18
4446,31
4447,16
4448,14
4449,3
4452,0
4453,7
4454,0
4455,15
4456,12
4457,17
4458,7
4462,1
4463,15
4464,7
4465,0
4466,5
4467,0
4468,21
4469,12
4470,10
4471,0
4472,5
4510,7
4511,1
4512,3
4513,4
4514,23
4515,19
4516,22
4517,17
4518,5
4519,15
4520,29
4521,23
4522,35
4523,16
4524,0
4525,0
4526,0
4528,2
4529,1
4530,7
4531,2
4532,3
4533,0
4537,11
4538,2
4539,15
4540,16
4541,17
4542,0
4543,4
4544,3
4545,20
4546,8
4547,2
4584,12
4585,7
4586,0
4587,0
4588,0
4589,1
4590,3
4591,11
4592,5
4593,17
4594,9
4595,21
4596,22
4597,24
4598,24
4599,28
4600,4
4601,4
4602,10
4603,5
4604,4
4605,13
4606,7
4607,7
4608,0
4609,5
4613,0
4614,13
4615,26
4616,16
4617,5
4618,4
4619,5
4620,8
4621,12
4622,1
4623,10
4652,9
4653,1
4659,8
4660,5
4661,7
4662,12
4663,0
4664,1
4665,4
4666,3
4667,21
4668,2
4669,0
4670,1
4671,15
4672,22
4673,19
4674,35
4675,15
4676,10
4677,0
4678,1
4679,2
4680,0
4681,3
4682,7
4683,42
4688,10
4689,17
4690,11
4691,12
4692,0
4693,5
4694,20
4695,11
4696,1
4697,13
4698,14
4723,12
4725,0
4728,19
4729,12
4730,10
4731,2
4735,11
4736,18
4737,9
4738,6
4739,21
4740,13
4741,9
4742,6
4743,9
4744,40
4745,5
4746,0
4747,0
4748,2
4749,23
4750,21
4751,11
4752,9
4753,42
4754,4
4755,0
4757,5
4758,7
4759,4
4764,25
4765,16
4766,16
4767,28
4768,13
4769,7
4770,17
4771,4
4772,14
4773,9
4774,12
4800,18
4801,20
4802,18
4803,25
4804,1
4805,29
4806,12
4807,27
4808,19
4809,11
4810,16
4811,36
4812,0
4813,14
4814,12
4815,19
4816,21
4817,34
4818,36
4819,13
4820,21
4821,23
4822,6
4823,15
4824,16
4825,28
4826,21
4827,35
4828,45
4829,9
4830,5
4831,30
4832,10
4833,4
4838,23
4839,15
4840,21
4841,15
4842,3
4843,14
4844,11
4845,23
4846,16
4847,17
4848,17
4849,18
4880,16
4881,22
4882,22
4883,44
4884,19
4885,19
4886,15
4887,30
4888,17
4889,13
4890,18
4891,11
4892,12
4893,12
4894,17
4895,41
4896,34
4897,28
4898,12
4899,2
4900,22
4901,34
4902,18
4903,5
4904,29
4905,10
4906,5
4907,14
4908,9
4909,17
4914,10
4915,8
4916,16
4917,6
4918,8
4919,3
4920,17
4921,8
4922,19
4923,14
4924,6
4925,18
4926,0
4953,0
4954,7
4955,1
4956,25
4957,19
4958,17
4959,18
4960,1
4961,19
4962,20
4963,28
4964,15
4965,29
4966,21
4967,26
4968,15
4969,23
4970,10
4971,14
4972,29
4973,31
4974,13
4975,18
4976,24
4977,18
4978,19
4979,16
4980,5
4981,18
4982,7
4983,9
4988,6
4989,27
4990,15
4991,19
4992,11
4993,20
4994,9
4995,18
4996,15
4997,14
4998,13
4999,6
5000,24
5001,6
5002,0
5003,0
5006,18
5028,18
5029,5
5030,0
5031,20
5032,26
5033,12
5034,23
5035,19
5036,14
5037,20
5038,27
5039,12
5040,13
5041,17
5042,19
5043,14
5044,26
5045,7
5046,9
5050,9
5051,17
5052,14
5053,22
5054,35
5055,10
5056,19
5057,19
5058,19
5059,22
5064,13
5065,20
5066,19
5067,18
5068,0
5069,17
5070,31
5071,13
5072,8
5073,34
5074,25
5075,17
5076,14
5077,8
5078,0
5079,0
5080,9
5081,13
5082,14
5083,9
5101,0
5102,7
5103,17
5104,16
5105,5
5106,22
5107,0
5108,13
5109,15
5110,15
5111,0
5112,0
5113,7
5114,17
5115,34
5116,32
5117,20
5118,34
5119,19
5120,35
5121,14
5122,1
5125,34
5126,25
5127,25
5128,13
5129,25
5130,20
5131,3
5132,18
5133,1
5134,6
5135,0
5139,23
5140,26
5141,21
5142,23
5143,10
5144,26
5145,5
5146,7
5147,0
5148,9
5149,12
5150,29
5151,19
5152,14
5153,0
5154,0
5155,11
5156,4
5157,1
5178,14
5179,9
5180,5
5181,19
5182,4
5183,4
5184,28
5185,19
5186,8
5187,37
5188,0
5189,0
5190,6
5191,9
5192,31
5193,13
5194,12
5195,15
5196,19
5197,39
5198,9
5201,10
5202,1
5203,18
5204,16
5205,11
5206,23
5207,15
5208,21
5209,25
5210,13
5211,1
5212,5
5216,12
5217,19
5218,24
5219,11
5220,23
5221,8
5222,16
5223,11
5224,9
5225,2
5226,18
5227,14
5228,12
5229,13
5230,0
5231,6
5232,10
5233,9
5253,6
5254,14
5255,23
5256,11
5257,9
5258,16
5259,7
5260,1
5261,4
5262,19
5263,35
5264,15
5265,14
5266,5
5267,7
5268,3
5269,19
5270,17
5271,33
5272,7
5273,11
5274,13
5275,14
5276,22
5277,29
5278,27
5279,43
5280,29
5281,10
5282,33
5283,28
5284,16
5285,14
5286,0
5287,6
5288,6
5292,21
5293,32
5294,29
5295,24
5296,8
5297,16
5298,14
5299,18
5300,18
5301,14
5302,12
5303,12
5304,17
5305,5
5306,13
5307,14
5308,6
5309,3
5310,6
5311,5
5329,12
5330,5
5331,24
5332,15
5333,21
5334,15
5335,4
5336,7
5337,12
5338,4
5339,17
5340,17
5341,27
5342,0
5343,0
5344,1
5345,10
5346,4
5347,6
5348,31
5349,27
5350,3
5351,17
5352,14
5353,6
5354,8
5355,5
5356,9
5357,7
5358,26
5359,15
5361,14
5362,1
5363,6
5364,7
5365,3
5369,21
5370,20
5371,16
5372,43
5373,9
5374,10
5375,16
5376,28
5377,10
5378,20
5379,5
5380,5
5381,16
5382,17
5383,11
5384,22
5385,12
5386,17
5401,11
5402,10
5403,18
5404,19
5405,24
5406,45
5407,12
5408,16
5409,21
5410,15
5411,14
5412,4
5413,0
5414,0
5415,7
5416,15
5417,16
5418,14
5419,19
5420,3
5421,5
5422,24
5423,6
5424,0
5425,0
5426,3
5427,6
5428,10
5429,18
5430,19
5431,26
5432,12
5433,16
5434,12
5438,13
5439,21
5440,14
5441,15
5444,16
5445,25
5446,7
5447,40
5448,11
5449,16
5450,9
5451,18
5452,12
5453,21
5454,9
5455,2
5456,18
5457,9
5458,21
5459,5
5460,9
5461,1
5477,10
5478,17
5479,12
5480,5
5481,9
5482,15
5483,14
5484,21
5485,10
5486,12
5487,5
5488,10
5489,0
5490,0
5491,0
5492,7
5493,14
5494,23
5495,30
5496,19
5497,11
5498,6
5499,11
5500,0
5503,5
5504,6
5505,8
5506,16
5507,26
5508,10
5509,16
5510,1
5511,14
5514,5
5515,13
5516,21
5517,26
5518,4
5521,5
5522,18
5523,15
5524,9
5525,11
5526,2
5527,28
5528,19
5529,15
5530,9
5531,0
5532,18
5533,7
5534,8
5535,17
5536,11
5553,6
5554,13
5555,6
5556,16
5557,6
5558,9
5559,5
5560,1
5561,8
5562,10
5563,8
5564,7
5565,0
5566,1
5567,8
5568,10
5569,8
5570,12
5571,24
5572,12
5573,3
5574,16
5575,0
5578,10
5579,17
5580,13
5581,16
5582,6
5583,33
5584,27
5585,15
5586,8
5587,0
5588,0
5589,0
5590,9
5591,13
5592,11
5593,30
5594,11
5597,11
5598,2
5599,11
5600,29
5601,8
5602,24
5603,10
5604,16
5605,20
5606,4
5607,22
5608,10
5609,17
5610,10
5611,4
5632,21
5633,22
5634,15
5635,14
5636,8
5637,2
5638,17
5639,7
5640,13
5641,0
5642,0
5643,2
5644,3
5645,9
5646,0
5647,14
5648,24
5649,5
5650,24
5651,0
5652,0
5653,0
5655,19
5656,10
5658,5
5659,20
5660,20
5661,14
5662,21
5663,24
5664,0
5665,0
5666,0
5667,12
5668,22
5669,9
5670,21
5671,2
5674,12
5675,16
5676,6
5677,11
5678,31
5679,20
5680,21
5681,20
5682,1
5683,13
5684,1
5685,14
5686,5
5687,9
5693,20
5710,11
5711,18
5712,9
5713,34
5714,15
5715,16
5716,13
5717,4
5718,5
5719,19
5720,5
5721,1
5722,11
5723,0
5724,9
5725,28
5726,14
5727,13
5728,7
5729,11
5730,0
5731,15
5732,0
5734,22
5735,9
5736,5
5737,15
5738,20
5739,7
5740,0
5741,0
5742,0
5743,7
5744,9
5745,6
5746,14
5750,3
5751,0
5752,19
5753,11
5754,32
5755,11
5756,20
5757,10
5758,8
5759,9
5760,1
5761,8
5762,2
5787,16
5788,16
5789,19
5790,5
5791,7
5792,13
5793,21
5794,18
5795,13
5796,3
5797,7
5798,0
5799,4
5800,11
5801,21
5802,16
5803,25
5804,9
5805,2
5806,13
5807,25
5808,0
5809,0
5810,0
5811,9
5812,17
5813,9
5814,5
5815,7
5816,2
5817,0
5818,0
5819,18
5820,18
5821,10
5822,10
5823,1
5828,15
5829,10
5830,22
5831,14
5832,12
5833,0
5834,12
5835,11
5836,8
5837,4
5838,6
5839,0
5862,10
5863,16
5864,12
5865,10
5866,10
5867,10
5868,11
5869,20
5870,12
5871,14
5872,14
5873,3
5874,9
5875,4
5876,12
5877,9
5878,12
5879,8
5880,15
5881,6
5882,4
5883,13
5884,9
5885,9
5886,24
5887,12
5888,19
5889,12
5890,17
5891,14
5892,0
5893,10
5894,18
5895,5
5896,0
5897,8
5898,25
5899,29
5903,0
5904,4
5905,6
5906,11
5907,0
5908,10
5909,8
5910,3
5911,13
5912,13
5913,3
5939,13
5940,31
5941,23
5942,19
5943,6
5944,14
5945,10
5946,15
5947,14
5948,23
5949,19
5950,23
5951,19
5952,11
5953,6
5954,14
5955,5
5956,12
5957,4
5958,9
5959,20
5960,10
5961,8
5962,5
5963,26
5964,38
5965,9
5966,13
5967,2
5968,12
5969,7
5970,11
5971,12
5974,29
5975,18
5976,7
5980,0
5981,2
5982,5
5983,11
5984,0
5985,4
5986,3
5987,6
5988,18
5989,0
6014,11
6015,15
6016,13
6017,14
6018,20
6019,14
6021,9
6024,5
6025,13
6026,3
6027,27
6028,42
6029,30
6030,31
6031,18
6032,10
6033,17
6034,22
6035,22
6036,14
6037,9
6038,9
6039,5
6040,14
6041,6
6042,13
6043,6
6044,26
6045,8
6046,2
6047,6
6050,5
6051,20
6052,12
6055,0
6056,4
6057,12
6058,8
6059,1
6060,3
6061,4
6062,13
6063,7
6064,6
6065,2
6089,17
6090,12
6093,2
6094,2
6095,30
6101,12
6102,17
6103,4
6104,26
6105,25
6106,1
6107,14
6108,21
6109,19
6110,11
6111,17
6112,15
6113,17
6114,16
6115,14
6116,13
6117,10
6118,5
6119,23
6120,10
6121,20
6122,0
6123,0
6124,8
6126,13
6127,7
6128,25
6132,8
6133,5
6134,15
6135,9
6136,3
6137,2
6138,11
6139,21
6140,3
6141,13
6170,0
6171,6
6172,3
6175,0
6176,7
6177,6
6178,12
6179,24
6180,12
6181,0
6182,0
6183,0
6184,4
6185,11
6186,22
6187,1
6188,21
6189,27
6190,14
6191,28
6192,31
6193,20
6194,18
6195,12
6196,6
6197,9
6198,0
6199,12
6200,20
6201,15
6202,18
6203,16
6204,1
6207,4
6208,7
6209,9
6210,4
6211,7
6212,6
6213,4
6214,21
6215,8
6216,19
6217,12
6254,22
6256,28
6257,5
6258,0
6259,0
6260,18
6261,16
6262,19
6263,18
6264,17
6265,27
6266,24
6267,8
6272,18
6273,11
6274,12
6275,14
6276,16
6277,8
6278,20
6279,13
6280,12
6284,5
6285,2
6286,5
6287,12
6288,2
6289,2
6290,0
6291,13
6292,0
6332,20
6333,3
6334,7
6335,30
6336,18
6337,37
6338,18
6339,21
6340,2
6341,6
6342,23
6348,2
6349,6
6350,20
6351,4
6352,10
6353,19
6354,27
6355,7
6359,1
6360,6
6361,17
6362,8
6363,9
6364,6
6365,0
6366,1
6367,0
6368,5
6409,17
6410,11
6411,24
6412,20
6413,21
6414,8
6415,13
6416,16
6426,2
6427,2
6428,5
6429,22
6430,6
6435,1
6436,9
6437,5
6438,9
6439,10
6440,14
6441,6
6442,1
6443,3
6444,5
6485,10
6486,13
6487,14
6488,21
6489,9
6490,26
6491,8
6502,2
6503,13
6504,25
6505,7
6510,5
6511,26
6512,21
6513,12
6514,3
6515,7
6516,7
6517,2
6518,3
6519,15
6525,17
6564,11
6565,16
6566,2
6579,8
6580,17
6586,7
6587,27
6588,14
6589,3
6590,8
6591,16
6592,18
6593,21
6594,5
6595,5
6636,6
6638,3
6640,23
6654,6
6655,14
6660,10
6661,23
6662,23
6663,9
6664,15
6665,9
6666,8
6667,11
6668,20
6669,11
6670,6
6671,4
6713,9
6735,11
6736,16
6737,8
6738,13
6739,21
6740,15
6741,7
6742,12
6743,1
6744,15
6745,14
6746,0
6747,9
6748,5
6749,2
6809,2
6810,19
6811,4
6812,15
6813,13
6814,4
6815,1
6816,6
6817,4
6818,19
6819,19
6820,18
6821,14
6822,13
6823,14
6824,4
6825,14
6826,11
6884,2
6885,11
6886,1
6887,27
6888,20
6889,14
6890,0
6891,0
6892,5
6893,30
6894,12
6895,12
6896,5
6897,19
6898,34
6899,6
6900,12
6902,18
6903,5
6904,4
6958,13
6959,19
6960,17
6961,26
6962,13
6963,26
6964,38
6965,8
6966,0
6967,0
6968,9
6969,17
6970,11
6971,14
6972,15
6973,14
6974,10
6975,14
6976,12
6977,17
6978,15
6979,6
7034,15
7035,20
7036,10
7037,9
7038,18
7039,0
7040,36
7041,45
7042,12
7043,0
7044,1
7045,12
7046,13
7047,11
7048,15
7049,11
7050,11
7051,20
7052,18
7053,11
7054,16
7055,16
7056,1
7109,6
7110,2
7111,8
7112,16
7113,7
7114,20
7115,7
7116,27
7117,0
7118,10
7119,6
7120,1
7121,6
7122,36
7123,3
7124,5
7125,9
7126,19
7127,14
7128,25
7129,18
7130,8
7186,0
7187,9
7188,8
7189,20
7190,31
7191,30
7192,13
7193,9
7194,12
7195,2
7196,0
7199,24
7200,19
7201,12
7202,11
7203,6
7204,2
7205,6
7206,11
7261,16
7262,5
7263,7
7264,6
7265,28
7266,9
7267,14
7268,11
7269,6
7270,10
7276,16
7277,14
7278,0
7279,3
7281,5
7337,18
7338,17
7339,8
7340,17
7341,7
7342,13
7343,22
7344,25
7345,14
7352,8
7353,16
7354,27
7355,19
7356,7
7412,12
7413,12
7414,21
7415,25
7416,13
7417,19
7418,18
7428,21
7429,20
7430,11
7431,5
7432,4
7488,17
7489,19
7490,9
7491,16
7505,6
7506,13
7507,3
7563,17
7564,5
7565,21
7566,15
7581,21
7582,10
7638,0
7639,4
7640,7
7641,11
7642,0
7643,3
7714,0
7715,12
7716,12
7717,1
7718,6
7791,4
7792,17
7793,15
7794,15
7795,7
7864,0
7867,13
7868,26
7869,8
7870,17
7941,1
7943,17
7944,0
7945,9
7946,13
8020,8
8021,0
