fid,2017공시지가_avg_Land_Value,2017공시지가_avg_Land_Value_2
1576,2094703.34798301,2790848.34360401
1578,1433402.78332065,2790848.34360401
1652,2013032.15558367,2790848.34360401
1653,1563837.49611821,2790848.34360401
1577,2790848.34360401,1433402.78332065
1653,1563837.49611821,1433402.78332065
1634,3470934.28446356,2956693.74069401
1558,3561110.93456766,2956693.74069401
1557,3561925.59537261,2956693.74069401
1635,3136698.37906753,3470934.28446356
1559,3378047.57771216,3470934.28446356
1558,3561110.93456766,3470934.28446356
1633,2956693.74069401,3470934.28446356
1560,3803775.11631026,3136698.37906753
1636,3744643.91897879,3136698.37906753
1559,3378047.57771216,3136698.37906753
1634,3470934.28446356,3136698.37906753
1561,792493.408847811,3744643.91897879
1560,3803775.11631026,3744643.91897879
1637,3462706.76666485,3744643.91897879
1635,3136698.37906753,3744643.91897879
1562,1091358.11383317,3462706.76666485
1561,792493.408847811,3462706.76666485
1638,2697464.16865,3462706.76666485
1636,3744643.91897879,3462706.76666485
1563,2238556.44149301,2697464.16865
1562,1091358.11383317,2697464.16865
1639,1697404.06352836,2697464.16865
1637,3462706.76666485,2697464.16865
1564,2445798.39180169,1697404.06352836
1563,2238556.44149301,1697404.06352836
1640,1302344.84659313,1697404.06352836
1638,2697464.16865,1697404.06352836
1565,1756542.80437439,1302344.84659313
1564,2445798.39180169,1302344.84659313
1641,1445527.84238073,1302344.84659313
1639,1697404.06352836,1302344.84659313
1566,1479649.08516028,1445527.84238073
1565,1756542.80437439,1445527.84238073
1642,1789240.00439451,1445527.84238073
1640,1302344.84659313,1445527.84238073
1567,2670906.96517011,1789240.00439451
1566,1479649.08516028,1789240.00439451
1643,2532589.08835651,1789240.00439451
1641,1445527.84238073,1789240.00439451
1568,2948337.58157551,2532589.08835651
1567,2670906.96517011,2532589.08835651
1644,2185930.54125367,2532589.08835651
1642,1789240.00439451,2532589.08835651
1569,1870996.49976072,2185930.54125367
1568,2948337.58157551,2185930.54125367
1645,2297330.29098831,2185930.54125367
1643,2532589.08835651,2185930.54125367
1570,2374867.4673723,2297330.29098831
1569,1870996.49976072,2297330.29098831
1646,3342684.27375361,2297330.29098831
1644,2185930.54125367,2297330.29098831
1571,3195009.83729218,3342684.27375361
1570,2374867.4673723,3342684.27375361
1647,2647461.20559347,3342684.27375361
1645,2297330.29098831,3342684.27375361
1571,3195009.83729218,2647461.20559347
1572,1051947.26797553,2647461.20559347
1648,654163.725220808,2647461.20559347
1646,3342684.27375361,2647461.20559347
1572,1051947.26797553,654163.725220808
1573,1238748.06575982,654163.725220808
1647,2647461.20559347,654163.725220808
1649,885898.354759651,654163.725220808
1573,1238748.06575982,885898.354759651
1574,1545956.3863443,885898.354759651
1648,654163.725220808,885898.354759651
1650,1336827.26189197,885898.354759651
1574,1545956.3863443,1336827.26189197
1575,1785969.16635528,1336827.26189197
1649,885898.354759651,1336827.26189197
1651,2416542.66153672,1336827.26189197
1575,1785969.16635528,2416542.66153672
1576,2094703.34798301,2416542.66153672
1650,1336827.26189197,2416542.66153672
1652,2013032.15558367,2416542.66153672
1576,2094703.34798301,2013032.15558367
1577,2790848.34360401,2013032.15558367
1651,2416542.66153672,2013032.15558367
1653,1563837.49611821,2013032.15558367
1577,2790848.34360401,1563837.49611821
1578,1433402.78332065,1563837.49611821
1652,2013032.15558367,1563837.49611821
1711,3279215.86871238,3133950.88268767
1786,2422939.25790686,3133950.88268767
1712,2705234.37019007,3279215.86871238
1787,3814065.22209956,3279215.86871238
1786,2422939.25790686,3279215.86871238
1710,3133950.88268767,3279215.86871238
1713,3247167.01915056,2705234.37019007
1788,3174182.61910739,2705234.37019007
1787,3814065.22209956,2705234.37019007
1711,3279215.86871238,2705234.37019007
1714,1694008.88917003,3247167.01915056
1789,954277.208603769,3247167.01915056
1788,3174182.61910739,3247167.01915056
1712,2705234.37019007,3247167.01915056
1715,960218.220701446,1694008.88917003
1789,954277.208603769,1694008.88917003
1713,3247167.01915056,1694008.88917003
1790,965274.795620873,1694008.88917003
1716,94340.1112911915,960218.220701446
1714,1694008.88917003,960218.220701446
1791,1253010.79644025,960218.220701446
1790,965274.795620873,960218.220701446
1717,327381.470819354,94340.1112911915
1715,960218.220701446,94340.1112911915
1791,1253010.79644025,94340.1112911915
1718,1130208.69708069,327381.470819354
1716,94340.1112911915,327381.470819354
1793,956890.193645877,327381.470819354
1719,1808738.55264507,1130208.69708069
1717,327381.470819354,1130208.69708069
1794,1879087.34765142,1130208.69708069
1793,956890.193645877,1130208.69708069
1720,2177715.08706339,1808738.55264507
1718,1130208.69708069,1808738.55264507
1795,2278943.45063345,1808738.55264507
1794,1879087.34765142,1808738.55264507
1721,2188804.37174308,2177715.08706339
1719,1808738.55264507,2177715.08706339
1796,2360308.36876566,2177715.08706339
1795,2278943.45063345,2177715.08706339
1722,2983990.55383281,2188804.37174308
1720,2177715.08706339,2188804.37174308
1797,2329986.62211457,2188804.37174308
1796,2360308.36876566,2188804.37174308
1723,3911972.62156879,2983990.55383281
1721,2188804.37174308,2983990.55383281
1798,3498648.02759566,2983990.55383281
1797,2329986.62211457,2983990.55383281
1724,2252006.14394071,3911972.62156879
1722,2983990.55383281,3911972.62156879
1799,4718077.93909851,3911972.62156879
1798,3498648.02759566,3911972.62156879
1725,1968491.75716321,2252006.14394071
1723,3911972.62156879,2252006.14394071
1800,3383861.28954595,2252006.14394071
1799,4718077.93909851,2252006.14394071
1726,1304337.34127269,1968491.75716321
1724,2252006.14394071,1968491.75716321
1801,1773743.84581,1968491.75716321
1800,3383861.28954595,1968491.75716321
1727,1508396.55098816,1304337.34127269
1725,1968491.75716321,1304337.34127269
1802,2589618.81444649,1304337.34127269
1801,1773743.84581,1304337.34127269
1728,2236757.06517657,1508396.55098816
1726,1304337.34127269,1508396.55098816
1803,2315104.89459727,1508396.55098816
1802,2589618.81444649,1508396.55098816
1729,2721251.00597174,2236757.06517657
1727,1508396.55098816,2236757.06517657
1804,2900543.35010845,2236757.06517657
1803,2315104.89459727,2236757.06517657
1730,2275721.08709684,2721251.00597174
1728,2236757.06517657,2721251.00597174
1805,2661076.94220753,2721251.00597174
1804,2900543.35010845,2721251.00597174
1731,2257003.96812308,2275721.08709684
1729,2721251.00597174,2275721.08709684
1806,3437212.11172654,2275721.08709684
1805,2661076.94220753,2275721.08709684
1732,2206119.77268368,2257003.96812308
1730,2275721.08709684,2257003.96812308
1806,3437212.11172654,2257003.96812308
1731,2257003.96812308,2206119.77268368
1787,3814065.22209956,2422939.25790686
1711,3279215.86871238,2422939.25790686
1710,3133950.88268767,2422939.25790686
1788,3174182.61910739,3814065.22209956
1712,2705234.37019007,3814065.22209956
1711,3279215.86871238,3814065.22209956
1786,2422939.25790686,3814065.22209956
1789,954277.208603769,3174182.61910739
1713,3247167.01915056,3174182.61910739
1712,2705234.37019007,3174182.61910739
1787,3814065.22209956,3174182.61910739
1714,1694008.88917003,954277.208603769
1713,3247167.01915056,954277.208603769
1788,3174182.61910739,954277.208603769
1790,965274.795620873,954277.208603769
1715,960218.220701446,965274.795620873
1714,1694008.88917003,965274.795620873
1789,954277.208603769,965274.795620873
1791,1253010.79644025,965274.795620873
1716,94340.1112911915,1253010.79644025
1715,960218.220701446,1253010.79644025
1790,965274.795620873,1253010.79644025
1718,1130208.69708069,956890.193645877
1717,327381.470819354,956890.193645877
1794,1879087.34765142,956890.193645877
1719,1808738.55264507,1879087.34765142
